id,content,my_topic,llm_topic,human_set,llm_set,jaccard,human_tag_coverage
ADR_124,# Metadata  ## Context  Digital objects need to have associated metadata for various use cases (refe,observability,"data_persistence, architecture_patterns",{'observability'},"{'architecture_patterns', 'data_persistence'}",0.0,0.0
ADR_125,# Architecture Decision Record: Use ADRs  [![Decided on][octicon-calendar]][adr-0001] <time datetime,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_126,# 2. use-bullet-to-catch-nplus1-queries  Date: 2019-09-19  ## Status  Accepted  ## Context  It can b,testing_strategy,"data_persistence, testing_strategy, performance_and_scalability",{'testing_strategy'},"{'testing_strategy', 'performance_and_scalability', 'data_persistence'}",0.33,1.0
ADR_127,# 1. Record architecture decisions  Date: 2018-07-25  ## Status  Accepted  ## Context  We need to re,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_128,"# 3. Rails Event Storm  ## Status  Accepted  ## Context  As I'm learning DDD with Arkency course, I'","architectural_patterns, technology_choice","architecture_patterns, technology_choice","{'architectural_patterns', 'technology_choice'}","{'architecture_patterns', 'technology_choice'}",0.33,0.5
ADR_129,# 1. Record architecture decisions  Date: 2019-05-09  ## Status  Approved  ## Context  We need to re,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_130,# 002 - Geoprocessing Caching  ## Context  Geoprocessing calls for large shapes can take a long time,data_persistence,"performance_and_scalability, data_persistence",{'data_persistence'},"{'performance_and_scalability', 'data_persistence'}",0.5,1.0
ADR_131,# ADR 0274: Step outcome and conclusion  **Date**: 2020-01-13  **Status**: Accepted  ## Context  Thi,api_and_contracts,"api_and_contracts, governance_and_process",{'api_and_contracts'},"{'governance_and_process', 'api_and_contracts'}",0.5,1.0
ADR_132,# 3. GraphQL as API Query Language via Apollo Server  Date: 2020-06-06  ## Status  Accepted  ## Cont,"api_and_contracts, technology_choice","api_and_contracts, technology_choice","{'api_and_contracts', 'technology_choice'}","{'api_and_contracts', 'technology_choice'}",1.0,1.0
ADR_133,# To use Node and Express for the server  ## Context  It's not intended for this app to have a signi,technology_choice,"technology_choice, architecture_patterns, performance_and_scalability",{'technology_choice'},"{'architecture_patterns', 'performance_and_scalability', 'technology_choice'}",0.33,1.0
ADR_134,# ADR 3: Sending notifications  * Jeremy Wells  ## Status  **proposal** | ~accepted~ | ~depreciated~,others,"microservices_and_modularity, architecture_patterns",{'others'},"{'microservices_and_modularity', 'architecture_patterns'}",0.0,0.0
ADR_135,--- layout: page title: 0006-workflow-callback --- # Add a new method to AdaptrisMessageListener  * ,others,"api_and_contracts, architecture_patterns",{'others'},"{'architecture_patterns', 'api_and_contracts'}",0.0,0.0
ADR_136,# 1. Record architecture decisions  Date: 2018-02-15  ## Status  Accepted  ## Context  We need to re,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_137,# JetStream Extended Purge  |Metadata|Value| |--|---| |Date  |2021-06-30| |Author  |@aricart| |Statu,others,"api_and_contracts, data_persistence",{'others'},"{'data_persistence', 'api_and_contracts'}",0.0,0.0
ADR_138,# Architecture Decision Record: Configuration Ontology  ## Context  In [ADR-003](adr-003-config-impl,data_persistence,"architecture_patterns, governance_and_process",{'data_persistence'},"{'governance_and_process', 'architecture_patterns'}",0.0,0.0
ADR_139,# Use kubernetes for running containerised applications  Date: 10/04/18  ## Status  ✅ Accepted  ## C,"technology_choice, infrastructure_and_deployment","infrastructure_and_deployment, technology_choice","{'technology_choice', 'infrastructure_and_deployment'}","{'technology_choice', 'infrastructure_and_deployment'}",1.0,1.0
ADR_140,# Inject AB / Config / Global Values to Presenters For Testablity  * Status: accepted * Deciders: iO,testing_strategy,"testing_strategy, architecture_patterns",{'testing_strategy'},"{'testing_strategy', 'architecture_patterns'}",0.5,1.0
ADR_141,# 1. Use containers to deploy tools from foreign languages source code  Date: 2017-10-25  ## Status ,technology_choice,"infrastructure_and_deployment, governance_and_process",{'technology_choice'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.0,0.0
ADR_142,# Handle `themes` in ECL v3  | Status  | accepted  | | --- | --- | | **Proposed**  | 07/10/2020  | |,others,"microservices_and_modularity, architecture_patterns",{'others'},"{'microservices_and_modularity', 'architecture_patterns'}",0.0,0.0
ADR_143,--- id: 0001-record-architecture-decisions title: 1 - Recording Architecture Decisions --- Date: 201,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_144,# 4. Lombok  Date: 2018-08-02  ## Status  Accepted  ## Context  Java projects often contain a large ,technology_choice,technology_choice,{'technology_choice'},{'technology_choice'},1.0,1.0
ADR_145,## **Title**: Dependencies Default to Primary  ## **Status**: accepted  ## **Context**:  Primary Hea,others,"observability, governance_and_process",{'others'},"{'observability', 'governance_and_process'}",0.0,0.0
ADR_146,# 3. Use PlantUML for diagramming  Date: 2020-11-03  ## Status  Accepted  Amended by [5. Use PlantUM,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_147,# ADR-001<br/> Should the seed template be opinionated on state management framework choice?  ## Co,others,"governance_and_process, architecture_patterns",{'others'},"{'governance_and_process', 'architecture_patterns'}",0.0,0.0
ADR_148,# 8. Deployment Flow  Date: 2021-01-27 (_Updated 2022-07-18_)  ## Status  Accepted  ## Context  Our ,infrastructure_and_deployment,"infrastructure_and_deployment, governance_and_process",{'infrastructure_and_deployment'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.5,1.0
ADR_149,"# Versions of TOSCA elements in the name  In order to enable the versioning of TOSCA elements, the v",others,"api_and_contracts, governance_and_process",{'others'},"{'governance_and_process', 'api_and_contracts'}",0.0,0.0
ADR_150,# 9. Architecture tests. Date: 2020-06-27  ## Status Accepted  ## Context We need to have the mechan,testing_strategy,"testing_strategy, governance_and_process",{'testing_strategy'},"{'testing_strategy', 'governance_and_process'}",0.5,1.0
ADR_151,# 7. Service dns Patterns  Date: 2021-01-04  ## Status  Accepted  ## Context  Our current dns naming,governance_and_process,"infrastructure_and_deployment, governance_and_process",{'governance_and_process'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.5,1.0
ADR_152,# Capabilities & Security ADR  Date: 2019-02-26  ## Status Draft  ## Context  A unified security mod,security,"security, architecture_patterns",{'security'},"{'architecture_patterns', 'security'}",0.5,1.0
ADR_153,# Region level sync September 2020  _This ADR has been added retroactively in Apr 2021 to capture ou,performance_and_scalability,"performance_and_scalability, data_persistence, api_and_contracts",{'performance_and_scalability'},"{'performance_and_scalability', 'data_persistence', 'api_and_contracts'}",0.33,1.0
ADR_154,# 9. Event Driven Framework Design  Date: 2018-07-06  ## Status  Accepted  ## Context  * Embedded sy,architectural_patterns,"architecture_patterns, performance_and_scalability",{'architectural_patterns'},"{'architecture_patterns', 'performance_and_scalability'}",0.0,0.0
ADR_155,# Prefect for workflow definition and execution in AutoFlow  Date: 22 November 2019  # Status  Pendi,"governance_and_process, technology_choice","technology_choice, architecture_patterns","{'governance_and_process', 'technology_choice'}","{'architecture_patterns', 'technology_choice'}",0.33,0.5
ADR_156,# 14. Use redux  Date: 2018-08-01  ## Status  Accepted  ## Context  Redux is a state container for J,technology_choice,"technology_choice, architecture_patterns",{'technology_choice'},"{'architecture_patterns', 'technology_choice'}",0.5,1.0
ADR_157,# 0016. Installation method: Home Assistant Core  Date: 2020-07-01  ## Status  Accepted  ## Context ,others,"infrastructure_and_deployment, governance_and_process",{'others'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.0,0.0
ADR_158,# 1. Record architecture decisions  Date: 2020-05-07  ## Status  Accepted  ## Context  We need to re,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_159,# ADR011: Build Artefacts  ## Status  Pending  ## Context  As part of our pipelines we will be build,"technology_choice, infrastructure_and_deployment","technology_choice, infrastructure_and_deployment","{'technology_choice', 'infrastructure_and_deployment'}","{'technology_choice', 'infrastructure_and_deployment'}",1.0,1.0
ADR_160,# 6. Factories  Date: 2016-11-08  ## Status  Accepted.  This ADR was accepted implicitly by the (cur,architectural_patterns,"architecture_patterns, testing_strategy",{'architectural_patterns'},"{'testing_strategy', 'architecture_patterns'}",0.0,0.0
ADR_161,# Source-to-Image Workflow  Technical Story: [Evaluate Knative build](https://github.com/UST-MICO/mi,technology_choice,"infrastructure_and_deployment, technology_choice",{'technology_choice'},"{'technology_choice', 'infrastructure_and_deployment'}",0.5,1.0
ADR_162,# 8. api-documentation  Date: 2019-07-01  ## Status  Accepted  ## Context  We want our [API](./0004-,"governance_and_process, technology_choice","api_and_contracts, testing_strategy","{'governance_and_process', 'technology_choice'}","{'testing_strategy', 'api_and_contracts'}",0.0,0.0
ADR_163,# Hashing the identity information  Date: 2019-03-27  ## Status  Accepted  ## Context  The SAML prof,"technology_choice, observability","security, observability","{'observability', 'technology_choice'}","{'observability', 'security'}",0.33,0.5
ADR_164,# 9. Using one database per service  Date: 2018-01-10  ## Status  Accepted  ## Context  Many of the ,microservices_and_modularity,"data_persistence, microservices_and_modularity, performance_and_scalability",{'microservices_and_modularity'},"{'performance_and_scalability', 'microservices_and_modularity', 'data_persistence'}",0.33,1.0
ADR_165,--- layout: default title: ADR-0002 nav_order: 5 permalink: records/0002/ --- # Extract Only Useful ,observability,"data_persistence, performance_and_scalability",{'observability'},"{'performance_and_scalability', 'data_persistence'}",0.0,0.0
ADR_166,# ADR 0003: Domain-Driven Design  * [Table of contents](#)  * [Context](#context)  * [Decision](#d,architectural_patterns,"architecture_patterns, microservices_and_modularity, governance_and_process",{'architectural_patterns'},"{'governance_and_process', 'architecture_patterns', 'microservices_and_modularity'}",0.0,0.0
ADR_167,"# 0009. Mobile App Release Process  | Date | Tags | |---|---| | Tue Jul 24  | process, release |  #",others,"governance_and_process, infrastructure_and_deployment",{'others'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.0,0.0
ADR_168,# ADR 001: Coin Source Tracing  ## Changelog  - 2020-07-09: Initial Draft - 2020-08-11: Implementati,others,"data_persistence, api_and_contracts, architecture_patterns",{'others'},"{'architecture_patterns', 'data_persistence', 'api_and_contracts'}",0.0,0.0
ADR_169,# 5. Calculate distance between origin and result items within the application  Date: 2018-12-05  ##,others,"architecture_patterns, performance_and_scalability",{'others'},"{'architecture_patterns', 'performance_and_scalability'}",0.0,0.0
ADR_170,# 1. Record architecture decisions  Date: 2019-02-05  ## Status  Accepted  ## Context  We need to re,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_171,# 2. Use Pull Request Templates  Date: 2019-08-16  ## Status  ![Accepted](https://img.shields.io/bad,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_172,# Decision record: Root path handling  ## Context  As part of the work to release the next major ver,governance_and_process,api_and_contracts,{'governance_and_process'},{'api_and_contracts'},0.0,0.0
ADR_173,Persistence and retries for events ==  Status --  Approved  Context ---  `event-routing-backends` tr,others,"data_persistence, architecture_patterns, observability",{'others'},"{'observability', 'architecture_patterns', 'data_persistence'}",0.0,0.0
ADR_174,# 25. We will only release one configuration file  Date: 2017-11-06  ## Status  Accepted  ## Context,governance_and_process,"governance_and_process, infrastructure_and_deployment",{'governance_and_process'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.5,1.0
ADR_175,# 49. 全站 https  Date: 2018-06-27  ## Status  Proposed  ## Context  0. 客户网络环境不佳，存在流量劫持；使用的第三方服务要求 htt,technology_choice,"security, infrastructure_and_deployment, api_and_contracts",{'technology_choice'},"{'api_and_contracts', 'infrastructure_and_deployment', 'security'}",0.0,0.0
ADR_176,# Data Storage  Status: Draft  Date: 2020-05-22  Author: Filipe Pinheiro <filipe@yld.io>  Reviewed-b,"data_persistence, technology_choice","data_persistence, technology_choice","{'data_persistence', 'technology_choice'}","{'data_persistence', 'technology_choice'}",1.0,1.0
ADR_177,# 2. Use AWS Bare Metal Rig approach  Date: 2017-09-27  ## Status  Accepted  Amended by [3. Use AWS ,technology_choice,"infrastructure_and_deployment, technology_choice",{'technology_choice'},"{'technology_choice', 'infrastructure_and_deployment'}",0.5,1.0
ADR_178,# 0002. ORID  Date: 2020-JUL-31  ## Status  Accepted  ## Decision  All services shall emit and consu,governance_and_process,"api_and_contracts, microservices_and_modularity",{'governance_and_process'},"{'microservices_and_modularity', 'api_and_contracts'}",0.0,0.0
ADR_179,# 6. Create façade between API and business module  Date: 2019-07-01  Log date: 2019-11-04  ## Statu,"architectural_patterns, api_and_contracts","architecture_patterns, microservices_and_modularity, api_and_contracts","{'architectural_patterns', 'api_and_contracts'}","{'architecture_patterns', 'api_and_contracts', 'microservices_and_modularity'}",0.25,0.5
ADR_180,# 4. Users will be able to provide relay state  Date: 01/06/2017  ## Status  Pending (may want to ch,others,api_and_contracts,{'others'},{'api_and_contracts'},0.0,0.0
ADR_181,# ADR-004: Minimally Transform Source Code During Build  - Status: Accepted - People involved: @subl,others,"governance_and_process, infrastructure_and_deployment",{'others'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.0,0.0
ADR_182,# 1. Record architecture decisions  Date: 2020-01-29  ## Status  Accepted  ## Context  We need to re,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_183,#46. Generalize EventBus  Date: 2020-06-11  ## Status  Implemented used for JMAP notifications how,architectural_patterns,"architecture_patterns, microservices_and_modularity",{'architectural_patterns'},"{'architecture_patterns', 'microservices_and_modularity'}",0.0,0.0
ADR_184,# ADR 008: Decentralized Computer Emergency Response Team (dCERT) Group  ## Changelog  - 2019 Jul 31,others,"governance_and_process, security",{'others'},"{'governance_and_process', 'security'}",0.0,0.0
ADR_185,# Alerting Setup for Operate First Monitoring  * Status: accepted * Deciders: hemajv 4n4nd anishas,"technology_choice, observability","observability, governance_and_process","{'observability', 'technology_choice'}","{'observability', 'governance_and_process'}",0.33,0.5
ADR_186,# 2. Tweepy  Date: 2018-12-12  ## Status  Proposed  ## Subject Matter Expert (SME)  Corneliu Popescu,technology_choice,technology_choice,{'technology_choice'},{'technology_choice'},1.0,1.0
ADR_187,# 8. feat_ideas_for_resilience  Date: 2020-02-25  ## Status  Draft  ## Context  Here I'm adding some,others,"observability, security, infrastructure_and_deployment, governance_and_process",{'others'},"{'observability', 'governance_and_process', 'infrastructure_and_deployment', 'security'}",0.0,0.0
ADR_188,# Use Go As Server Language  The EASi developers need a language to support the application server s,technology_choice,technology_choice,{'technology_choice'},{'technology_choice'},1.0,1.0
ADR_189,# ADR039: Restricting CloudHSM network access to particular namespaces  ## Status  Accepted  ## Cont,security,"security, infrastructure_and_deployment",{'security'},"{'infrastructure_and_deployment', 'security'}",0.5,1.0
ADR_190,# Open Source License  * Status: proposed * Deciders: dev devops managers * Date: 2020-06-07  ## C,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_191,## Sentry  ### Context - e2e/UI testing framework - Was not able to get it to run on Netlify  ### De,others,"observability, testing_strategy",{'others'},"{'observability', 'testing_strategy'}",0.0,0.0
ADR_192,0001 - GeoDocker deployment ===  Context --- Currently it is possible to start a distributed geodoc,"technology_choice, infrastructure_and_deployment",infrastructure_and_deployment,"{'technology_choice', 'infrastructure_and_deployment'}",{'infrastructure_and_deployment'},0.5,0.5
ADR_193,# 5. Use id_token from Microsoft as Bearer token  Date: 2017-12-01  ## Status  Accepted  Amends [4. ,security,"security, api_and_contracts",{'security'},"{'api_and_contracts', 'security'}",0.5,1.0
ADR_194,# Storing dates in SQLite database ## Context SQLite does not feature a date format data type.,others,data_persistence,{'others'},{'data_persistence'},0.0,0.0
ADR_195,# Op specific enums  ## Status  ACCEPTED  Discussed by: Alex Black Robert Altena and Paul Dubs on 2,others,"api_and_contracts, governance_and_process",{'others'},"{'governance_and_process', 'api_and_contracts'}",0.0,0.0
ADR_196,# Implementation of complex EAI-Patterns with FaaS  ## Context and Problem Statement  Some [Enterpr,architectural_patterns,"architecture_patterns, microservices_and_modularity",{'architectural_patterns'},"{'architecture_patterns', 'microservices_and_modularity'}",0.0,0.0
ADR_197,# *Use Springfox to automatically generate API Documentation*  **User Story:** *As a developer i wan,technology_choice,"api_and_contracts, governance_and_process",{'technology_choice'},"{'governance_and_process', 'api_and_contracts'}",0.0,0.0
ADR_198,# Context  https://dsva.slack.com/archives/C01CJV0L9PS/p1612651359029600?thread_ts=1612651359.029600,governance_and_process,"infrastructure_and_deployment, security, governance_and_process",{'governance_and_process'},"{'governance_and_process', 'security', 'infrastructure_and_deployment'}",0.33,1.0
ADR_199,<!---~  ~ Copyright (c) 2021 Contributors to the Eclipse Foundation  ~  ~ See the NOTICE file(s) ,governance_and_process,"architecture_patterns, governance_and_process",{'governance_and_process'},"{'governance_and_process', 'architecture_patterns'}",0.5,1.0
ADR_200,# Relevant ArangoDB documentation  * Transactions: https://www.arangodb.com/docs/stable/transactions,others,"data_persistence, performance_and_scalability",{'others'},"{'performance_and_scalability', 'data_persistence'}",0.0,0.0
ADR_201,# 8. Volume Management in case of disruption  **Update (2019-07-30)**: We decided to rely on Statefu,"infrastructure_and_deployment, technology_choice","data_persistence, infrastructure_and_deployment","{'technology_choice', 'infrastructure_and_deployment'}","{'data_persistence', 'infrastructure_and_deployment'}",0.33,0.5
ADR_202,# 34. 2FA on all user identities  Date: 2020-09-21  ## Status  Accepted  Implements [6. Implement Se,security,security,{'security'},{'security'},1.0,1.0
ADR_203,# ADR 0297: Base64 Masking Trailing Characters  **Date** 2020-01-21  **Status** Proposed  ## Context,others,security,{'others'},{'security'},0.0,0.0
ADR_204,# 2. language  Date: 2018-10-31  ## Status  Accepted  Testing [3. testing](0003-testing.md)  ## Cont,technology_choice,technology_choice,{'technology_choice'},{'technology_choice'},1.0,1.0
ADR_205,# Use Spring for Dependency Injection and discovery of plugins  * Status: accepted  ## Context and P,technology_choice,"architecture_patterns, technology_choice",{'technology_choice'},"{'architecture_patterns', 'technology_choice'}",0.5,1.0
ADR_206,# OPM1: Use ADRS for decision tracking Date: 2021-01-28  ## Status Accepted  ## Context A microservi,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_207,"# Architecture Decision Record: Project Templates  ## Context  When starting a new project, it isn't",technology_choice,governance_and_process,{'technology_choice'},{'governance_and_process'},0.0,0.0
ADR_208,# 60. Lock pip requirements  Date: 2021-06-08  ## Status  Accepted  Implements [4. Create software d,security,"security, governance_and_process",{'security'},"{'governance_and_process', 'security'}",0.5,1.0
ADR_209,# 4. blacklight-for-search-only  Date: 2020-01-15  ## Status  Accepted  ## Context  There are two wa,data_persistence,"data_persistence, architecture_patterns",{'data_persistence'},"{'architecture_patterns', 'data_persistence'}",0.5,1.0
ADR_210,### Context  This is the beginning of the project  ### Decision  I decide to create a _Docs_ folder,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_211,# 3. looping over list  Date: 2018-07-26  ## Status  Done  ## Context  We want to be able to loop si,others,"api_and_contracts, architecture_patterns",{'others'},"{'architecture_patterns', 'api_and_contracts'}",0.0,0.0
ADR_212,# 0027 Annotate Project STAC Export  ## Context  This is an ADR documenting decisions made on MVP fe,technology_choice,"api_and_contracts, infrastructure_and_deployment, architecture_patterns",{'technology_choice'},"{'architecture_patterns', 'api_and_contracts', 'infrastructure_and_deployment'}",0.0,0.0
ADR_213,# 1. Don't export `moku init` execs  Date: 2019-02-15  Status --  Accepted  Context ---  Let's say w,infrastructure_and_deployment,"infrastructure_and_deployment, governance_and_process",{'infrastructure_and_deployment'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.5,1.0
ADR_214,# 16. We will have a healthcheck endpoint  Date: 2017-07-25  ## Status  Accepted  ## Context  In var,others,observability,{'others'},{'observability'},0.0,0.0
ADR_215,# 28. A solution is implemented by one or more GCP projects  Date: 2020-09-21  ## Status  Accepted  ,microservices_and_modularity,"infrastructure_and_deployment, microservices_and_modularity",{'microservices_and_modularity'},"{'microservices_and_modularity', 'infrastructure_and_deployment'}",0.5,1.0
ADR_216,# 3. Deploy via Heroku Pipelines  Date: 2017-12-01  ## Status  Accepted  ## Context  Initially this ,infrastructure_and_deployment,infrastructure_and_deployment,{'infrastructure_and_deployment'},{'infrastructure_and_deployment'},1.0,1.0
ADR_217,# 10. Packaging Node Exporter as .deb for Verify  Date: 2018-08-15  ## Status  Accepted  ## Context ,technology_choice,"infrastructure_and_deployment, observability",{'technology_choice'},"{'observability', 'infrastructure_and_deployment'}",0.0,0.0
ADR_218,# Use an automated license checker  ## Status  proposed  ## Context  Working with OpenSource softwar,technology_choice,governance_and_process,{'technology_choice'},{'governance_and_process'},0.0,0.0
ADR_219,Frontend Frameworks === Context --- ### Background Based on the advice of the Phase I team we will ,technology_choice,"technology_choice, governance_and_process",{'technology_choice'},"{'governance_and_process', 'technology_choice'}",0.5,1.0
ADR_220,# Handling generic Input/Output  ## Context  Currently we use a single View from the Presenter to ,governance_and_process,"architecture_patterns, api_and_contracts",{'governance_and_process'},"{'architecture_patterns', 'api_and_contracts'}",0.0,0.0
ADR_221,# 013: Command & event design  Authors: @opqdonut @Macroz  This ADR outlines some discussions about ,architectural_patterns,"architecture_patterns, api_and_contracts",{'architectural_patterns'},"{'architecture_patterns', 'api_and_contracts'}",0.0,0.0
ADR_222,# ADR 005: Split Audit Tool and Content Performance Manager  18-01-2018  ## Context  Content Perform,"technology_choice, governance_and_process",microservices_and_modularity,"{'governance_and_process', 'technology_choice'}",{'microservices_and_modularity'},0.0,0.0
ADR_223,# 3. Host two mongodb-updaters in a Single Stack  Date: 2017-06-28  ## Status  Accepted  ## Context ,data_persistence,infrastructure_and_deployment,{'data_persistence'},{'infrastructure_and_deployment'},0.0,0.0
ADR_224,# 15. App Access Logs from IngressGateway  Date: 2020-07-06  ## Status  Accepted  ## Context  `cf lo,others,"observability, infrastructure_and_deployment",{'others'},"{'observability', 'infrastructure_and_deployment'}",0.0,0.0
ADR_225,# 4. MongoDB datetime representation  Date: 2020-07-28  ## Status  Accepted  ## Context  Representin,"data_persistence, technology_choice","data_persistence, performance_and_scalability","{'data_persistence', 'technology_choice'}","{'performance_and_scalability', 'data_persistence'}",0.33,0.5
ADR_226,# 3. New annotation removal stage present in all webapi pipelines  Date: 2020-10-21  ## Status  Acce,others,"architecture_patterns, api_and_contracts",{'others'},"{'architecture_patterns', 'api_and_contracts'}",0.0,0.0
ADR_227,# 4. Use AWS Load Balancer Controller for edge traffic services  Date: 2021-08-12  ## Status  Accept,technology_choice,"infrastructure_and_deployment, api_and_contracts, security",{'technology_choice'},"{'api_and_contracts', 'security', 'infrastructure_and_deployment'}",0.0,0.0
ADR_228,# 3. Use Rollup to build distributables  Date: 2019-10-29  ## Status  Accepted  ## Context  We want ,technology_choice,"technology_choice, governance_and_process",{'technology_choice'},"{'governance_and_process', 'technology_choice'}",0.5,1.0
ADR_229,# 35. 关于灾难恢复  Date: 2017-06-05  ## Status  Proposed  ## Context  当前我们使用的是华北2可用区A机房（即北京昌平区的一个机房）部署了所有,infrastructure_and_deployment,"infrastructure_and_deployment, architecture_patterns",{'infrastructure_and_deployment'},"{'architecture_patterns', 'infrastructure_and_deployment'}",0.5,1.0
ADR_230,# 7. Use Dependabot to keep dependencies up to date  Date: 2019-10-30  ## Status  Accepted  ## Conte,technology_choice,"governance_and_process, security",{'technology_choice'},"{'governance_and_process', 'security'}",0.0,0.0
ADR_231,# 9. enhancement-retry-authen-interceptor  Date: 2021-05-10  ## Status  Accepted  ## Context  - The ,others,"api_and_contracts, performance_and_scalability",{'others'},"{'performance_and_scalability', 'api_and_contracts'}",0.0,0.0
ADR_232,# Document Architecture Decisions in ADRs  Date: Thu Aug 15 22:48:16 CEST 2019  ## Milestone  0.1.0 ,governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_233,# Use (only) Memory Store  * Status: accepted * Deciders: Nathan Fiedler * Date: 2020-08-20  ## Cont,data_persistence,"data_persistence, security",{'data_persistence'},"{'data_persistence', 'security'}",0.5,1.0
ADR_234,# 2. Use ASP.NET Core  Date: 2017-09-24  ## Status  Accepted  ## Context  With the introduction of .,technology_choice,technology_choice,{'technology_choice'},{'technology_choice'},1.0,1.0
ADR_235,# 29. Cassandra mailbox deletion cleanup  Date: 2020-04-12  ## Status  Accepted (lazy consensus) & i,governance_and_process,"data_persistence, architecture_patterns",{'governance_and_process'},"{'architecture_patterns', 'data_persistence'}",0.0,0.0
ADR_236,# 13. Use AWS S3 for storing files  Date: 2018-07-18  ## Status  Accepted  ## Context  The Data Subm,"technology_choice, data_persistence","data_persistence, technology_choice","{'data_persistence', 'technology_choice'}","{'data_persistence', 'technology_choice'}",1.0,1.0
ADR_237,# 8. Limit scope of Libero infrastructure  Date: 2020-01-10  ## Status  Proposed  ## Context  Libero,infrastructure_and_deployment,"infrastructure_and_deployment, governance_and_process",{'infrastructure_and_deployment'},"{'governance_and_process', 'infrastructure_and_deployment'}",0.5,1.0
ADR_238,# Use OAuth 2.0 and OpenID Connect as protocols for Authentication and Authorization  - Status: acce,"security, technology_choice","security, api_and_contracts","{'technology_choice', 'security'}","{'api_and_contracts', 'security'}",0.33,0.5
ADR_239,"Decided to implement automatic data scraping backend as a customly built system deployed on Heroku, ",infrastructure_and_deployment,"technology_choice, infrastructure_and_deployment",{'infrastructure_and_deployment'},"{'technology_choice', 'infrastructure_and_deployment'}",0.5,1.0
ADR_240,# Use postcodes.io to get postcode from coordinates Date: 10/10/2019  ## Status approved  ## Context,technology_choice,"technology_choice, performance_and_scalability",{'technology_choice'},"{'performance_and_scalability', 'technology_choice'}",0.5,1.0
ADR_241,#Choice of application level architecture for cardops module  ##Context Need to choose an applicable,architectural_patterns,"architecture_patterns, testing_strategy",{'architectural_patterns'},"{'testing_strategy', 'architecture_patterns'}",0.0,0.0
ADR_242,Context ===  In order to ensure the confidentiality of private tenant data processed on the platform,security,"security, infrastructure_and_deployment",{'security'},"{'infrastructure_and_deployment', 'security'}",0.5,1.0
ADR_243,# 26. Auth0 for authentication  Date: 2017-11-04  ## Status  Accepted  ## Context  User Authenticati,"security, technology_choice","technology_choice, security","{'technology_choice', 'security'}","{'technology_choice', 'security'}",1.0,1.0
ADR_244,# 10 Enable ElasticSearch routing  Date: 2019-10-17  ## Status  Accepted (lazy consensus)  Additiona,"data_persistence, performance_and_scalability","data_persistence, performance_and_scalability","{'performance_and_scalability', 'data_persistence'}","{'performance_and_scalability', 'data_persistence'}",1.0,1.0
ADR_245,--- layout: layouts/page.njk title: ADR-0012 Use external search service pageTitle: ADR-0012 Use ext,technology_choice,"technology_choice, architecture_patterns",{'technology_choice'},"{'architecture_patterns', 'technology_choice'}",0.5,1.0
ADR_246,"--- layout: layouts/adr.njk title: ""Record architecture decisions"" weight: 1 date: 2021-06-27 review",governance_and_process,governance_and_process,{'governance_and_process'},{'governance_and_process'},1.0,1.0
ADR_247,"--- id: ingest-google-sheets-data title: ""Ingest Google Sheets Data - ADR 002"" description: """" tags:",technology_choice,"infrastructure_and_deployment, technology_choice",{'technology_choice'},"{'technology_choice', 'infrastructure_and_deployment'}",0.5,1.0
ADR_248,# ADR 2018-10-04: Names Not UUIDs for IAM API  ## Status  * ACCEPTED (2018-10-24) * PROPOSED (2018-1,api_and_contracts,"api_and_contracts, governance_and_process",{'api_and_contracts'},"{'governance_and_process', 'api_and_contracts'}",0.5,1.0
ADR_249,# 3. Choice of entities for the Named Entity Recognizer  Date: 08-07-2020  ## Status  Accepted  ## C,others,"governance_and_process, security",{'others'},"{'governance_and_process', 'security'}",0.0,0.0
